Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear
L,301.6,333.0,1408,44.4,106
M,298.7,327.4444444,1424,50.4,32
L,301.5,331.5185185,1435,38.5,224
M,298.0,321.8888889,1552,36.6,190
M,302.2,334.8518519,1592,37.7,79
L,300.6,330.4074074,1494,47.3,118
M,297.5,326.7037037,1433,48.3,139
L,297.3,324.1111111,1491,40.2,112
L,300.1,334.4814815,2218,17.0,123
H,302.0,332.2592593,1679,29.0,222
L,299.2,323.0,1393,48.4,35
M,302.1,331.5185185,1364,47.8,213
M,300.0,325.962963,1635,32.4,4
L,301.4,331.8888889,1431,44.3,21
L,300.8,330.037037,1537,33.3,52
H,299.7,325.962963,1572,32.8,142
M,296.8,321.1481481,1843,25.2,116
H,298.0,320.4074074,1547,36.8,186
L,301.0,332.2592593,1679,29.8,64
L,295.7,314.4814815,1343,54.4,119
M,299.3,331.5185185,1374,48.9,222
L,300.8,327.8148148,1373,45.4,179
L,298.6,327.8148148,1627,33.4,99
L,300.4,334.4814815,1492,44.6,149
L,300.4,330.7777778,2424,14.5,12
L,301.3,330.7777778,1365,47.7,70
L,300.0,327.4444444,1694,28.7,94
L,301.4,330.037037,2203,16.6,169
L,302.4,332.2592593,1469,39.6,86
M,297.3,323.7407407,1584,29.4,141
M,304.2,342.2592593,1424,43.7,151
L,298.9,328.9259259,1719,27.3,58
L,297.4,325.962963,1620,33.2,28
L,302.1,333.3703704,1454,46.8,0
L,301.9,332.2592593,1486,40.3,6
L,297.2,323.3703704,1550,41.5,125
M,298.0,324.8518519,1339,51.4,68
L,300.2,334.8518519,1999,21.0,19
L,296.9,321.5185185,1546,31.1,11
H,303.5,339.2962963,1404,55.8,84
L,297.2,323.3703704,1494,39.6,181
L,302.1,334.4814815,1987,20.1,21
L,300.6,331.8888889,1378,51.2,119
L,302.6,337.8148148,1398,41.6,40
H,298.7,327.8148148,1697,29.8,74
L,296.7,321.5185185,1451,50.7,197
M,300.5,335.962963,1370,44.8,20
L,301.3,333.0,1560,35.3,55
M,300.9,332.6296296,1567,34.3,130
L,303.7,338.9259259,1395,53.9,123
H,301.0,332.2592593,1495,37.3,21
M,303.6,338.9259259,2174,17.6,37
M,297.5,325.5925926,1540,38.5,176
M,297.6,323.0,1569,38.3,93
L,302.3,335.2222222,2170,18.2,91
L,298.0,323.3703704,1713,25.3,124
L,302.7,337.8148148,1477,46.3,251
H,297.1,321.5185185,1559,38.8,229
L,300.3,325.962963,1649,32.4,50
L,300.2,327.8148148,1448,36.8,14
L,298.3,326.7037037,1356,45.4,96
L,301.8,331.5185185,1597,30.8,74
L,299.0,329.6666667,1516,35.3,102
M,302.2,333.7407407,1510,37.1,10
M,299.2,323.0,1330,51.2,56
M,300.2,327.0740741,1500,45.7,89
L,301.6,331.5185185,1683,29.7,131
L,299.9,330.4074074,1419,45.7,178
L,298.6,325.2222222,1469,46.0,4
L,300.9,332.6296296,2235,15.8,156
L,301.9,331.8888889,1400,58.2,79
M,298.2,322.6296296,1448,43.3,199
L,298.2,324.8518519,1367,45.0,85
M,298.6,325.5925926,1587,37.3,203
L,300.5,328.5555556,1480,40.0,148
L,300.8,329.6666667,1850,22.8,33
L,298.1,323.7407407,1558,42.4,14
L,297.1,321.8888889,1446,36.6,227
H,302.3,335.5925926,1475,42.8,38
L,301.1,331.1481481,1611,35.2,70
L,300.4,330.7777778,1578,32.8,26
M,297.3,323.3703704,1710,27.7,138
L,302.5,330.7777778,1520,41.2,154
M,302.2,331.5185185,1601,33.0,166
L,297.2,323.7407407,1636,31.3,192
L,297.1,320.7777778,1636,30.3,90
M,296.2,318.5555556,1552,34.8,8
L,300.3,334.1111111,1318,52.7,13
L,299.8,325.962963,1400,42.6,210
H,298.6,327.0740741,1420,50.4,82
L,301.9,331.8888889,1906,21.7,62
L,302.1,331.8888889,1565,35.3,6
L,302.4,333.0,1905,20.9,77
M,298.6,328.1851852,1419,44.9,115
L,296.9,320.7777778,1285,52.1,100
L,298.3,323.3703704,1664,31.6,144
L,296.8,321.1481481,1337,56.5,5
H,302.2,333.3703704,1692,28.2,122
L,298.7,328.5555556,1404,47.1,64
L,298.2,320.037037,1511,31.0,209
L,300.5,327.8148148,1580,42.8,196
L,302.8,331.1481481,1404,43.2,203
M,302.0,331.8888889,1609,35.2,4
L,299.2,323.3703704,1457,44.7,195
M,299.2,323.3703704,1742,28.9,150
H,302.9,332.6296296,1469,48.7,130
L,297.8,323.3703704,1448,40.0,192
L,297.2,323.7407407,1335,53.0,39
H,297.5,323.7407407,1536,38.7,7
M,303.6,338.1851852,1607,33.7,14
L,296.8,321.1481481,1698,30.8,48
H,301.2,328.1851852,1709,27.0,151
L,300.8,337.8148148,1365,44.5,129
L,299.7,327.4444444,1553,36.8,174
M,298.1,319.2962963,1335,56.2,190
L,297.2,321.1481481,1540,37.1,164
M,300.3,330.4074074,1293,49.7,37
H,298.3,325.2222222,1470,38.4,10
L,300.1,326.7037037,1453,47.6,28
M,299.9,325.5925926,1345,56.8,10
L,301.3,332.6296296,1539,36.9,206
L,299.4,323.7407407,1492,40.5,181
L,298.4,326.3333333,1395,47.6,24
L,302.3,334.4814815,1387,47.3,2
L,300.9,332.2592593,1497,43.2,62
L,298.8,323.3703704,1736,29.0,31
L,297.8,320.037037,1607,30.3,62
M,300.0,327.0740741,1879,22.4,79
L,297.5,324.8518519,1738,24.0,195
H,297.6,324.4814815,1385,44.4,181
M,302.2,333.0,1516,33.7,158
L,303.8,340.037037,1633,32.9,207
L,300.6,331.5185185,1397,53.7,80
L,297.3,322.6296296,1268,60.6,119
L,297.6,323.7407407,1529,45.3,15
M,300.2,332.6296296,2370,14.7,144
L,302.4,329.2962963,1645,31.6,93
L,303.7,337.8148148,1702,31.2,144
M,299.8,326.3333333,1640,31.1,211
L,299.7,333.0,1574,36.4,135
L,297.5,326.7037037,1650,34.6,142
M,301.5,328.9259259,1417,44.6,49
M,298.1,321.8888889,1456,43.7,80
L,299.5,329.2962963,1585,35.2,50
L,301.0,331.1481481,1493,37.8,206
M,301.7,331.5185185,1659,29.9,73
L,297.3,323.0,1469,46.7,65
M,302.2,329.2962963,1421,45.4,9
M,303.6,339.2962963,1689,33.1,16
H,298.5,327.4444444,1579,33.5,91
L,300.6,329.6666667,1318,51.0,8
M,302.1,331.1481481,1517,38.9,2
L,297.1,322.2592593,2267,15.7,181
L,299.4,323.7407407,1415,56.4,175
L,301.0,331.5185185,1300,57.2,174
H,297.9,323.3703704,1383,44.6,184
L,301.9,331.8888889,1427,47.7,92
L,299.4,326.3333333,1391,46.6,185
H,299.3,330.4074074,1510,45.5,27
L,300.0,334.4814815,1445,41.6,81
L,298.2,325.5925926,1568,36.3,166
H,300.9,335.962963,2140,16.5,43
L,299.6,332.2592593,1472,40.9,137
M,298.5,327.4444444,1502,39.4,84
L,300.6,328.9259259,1455,40.4,172
L,299.1,331.1481481,1577,37.1,44
L,302.5,330.037037,1688,31.6,66
L,298.9,328.9259259,1378,49.3,18
M,298.5,326.3333333,1761,27.2,49
L,297.5,322.2592593,1489,40.7,141
M,297.7,325.2222222,1531,42.4,38
H,297.4,322.2592593,1359,46.9,199
L,301.7,331.1481481,1660,28.7,66
L,301.0,335.962963,1889,23.5,198
L,302.3,329.2962963,1353,50.9,36
L,298.3,325.5925926,1616,31.1,195
M,299.2,325.5925926,1503,34.7,6
M,297.5,321.5185185,1560,39.0,141
L,299.6,325.962963,1422,39.8,219
M,300.5,334.1111111,1743,27.6,46
M,297.2,321.1481481,1632,37.5,156
L,300.1,326.3333333,1340,56.0,130
M,298.0,323.3703704,1682,33.0,58
H,297.6,327.4444444,1419,48.2,215
L,300.7,332.2592593,1650,29.4,102
L,300.8,335.962963,1498,39.3,23
L,303.0,333.3703704,1382,50.5,203
M,301.9,331.5185185,1511,37.6,70
H,297.9,320.4074074,1464,43.2,97
M,301.4,331.1481481,1459,46.9,27
L,298.4,322.6296296,1422,42.7,186
M,300.0,326.3333333,1413,40.7,117
M,300.5,327.0740741,1320,49.9,59
M,300.3,333.7407407,1377,53.8,125
L,300.6,328.9259259,1438,53.8,103
L,297.9,320.7777778,1499,37.5,78
L,298.8,327.4444444,1442,50.0,104
L,295.6,314.1111111,1569,40.4,174
M,297.7,325.962963,1732,28.8,152
L,300.3,334.4814815,1695,25.6,43
M,300.2,334.8518519,1510,47.5,146
L,298.8,328.9259259,1412,46.3,107
L,298.6,326.7037037,1315,55.5,28
M,297.7,318.9259259,1365,49.2,36
L,297.4,322.2592593,1639,33.8,39
M,302.5,334.4814815,1481,41.1,215
L,300.0,327.4444444,1452,46.0,51
M,296.6,319.6666667,1734,27.0,50
M,302.6,337.4444444,1454,54.8,253
L,298.2,324.4814815,1302,60.4,34
L,295.8,315.962963,1568,35.1,111
L,297.4,323.0,1369,50.6,220
H,301.2,331.1481481,1352,52.0,69
L,300.8,335.5925926,1928,21.8,209
M,300.8,331.5185185,1924,22.4,36
H,301.7,329.6666667,1620,30.8,42
L,302.0,332.6296296,1420,45.9,144
L,300.4,335.2222222,1513,40.0,51
H,300.6,335.2222222,1535,33.3,92
M,297.2,322.6296296,1326,57.2,100
L,299.0,323.3703704,1559,38.1,194
M,302.4,335.5925926,1557,31.5,49
M,297.1,321.5185185,1690,25.6,159
L,299.3,323.3703704,1589,32.7,74
L,298.8,324.8518519,1527,32.4,189
M,297.5,323.3703704,1484,44.7,40
L,298.3,321.8888889,1840,21.5,88
M,301.1,328.9259259,1433,48.1,14
L,302.1,333.3703704,1460,46.9,198
H,300.8,328.5555556,2041,19.2,194
H,300.8,335.962963,1431,48.5,25
L,300.7,330.4074074,1366,52.6,205
L,302.0,333.3703704,1434,44.9,15
M,299.8,328.9259259,1632,33.7,172
L,299.8,333.7407407,1727,30.0,24
M,301.1,333.7407407,1836,22.8,31
L,297.5,324.8518519,1390,47.4,187
M,300.4,326.7037037,1362,42.1,182
M,301.7,332.6296296,1311,46.8,136
L,298.2,322.6296296,1402,51.0,141
L,299.4,323.3703704,1845,22.9,76
M,300.8,330.4074074,1518,36.0,59
M,296.9,321.1481481,1385,44.8,144
L,300.3,328.5555556,1393,56.1,12
L,298.1,325.2222222,1437,36.2,95
L,300.2,334.1111111,1495,43.6,95
L,298.9,328.5555556,1590,31.3,98
L,301.8,331.5185185,1644,33.4,68
M,300.3,327.4444444,1419,42.5,137
L,298.2,322.6296296,2051,19.2,90
L,297.5,327.4444444,1312,50.7,0
L,300.0,325.962963,1566,34.4,18
L,303.6,338.5555556,1502,39.5,103
M,300.5,326.7037037,1655,32.1,37
H,302.5,336.3333333,1357,42.0,179
M,302.4,334.1111111,1675,29.6,128
L,297.4,323.3703704,1692,34.3,83
M,299.8,326.3333333,1663,35.2,208
L,299.0,323.7407407,1329,60.5,120
M,301.9,331.5185185,1472,47.0,73
L,300.1,325.5925926,1551,33.7,214
L,298.2,324.8518519,1336,45.0,66
M,298.6,325.962963,1311,46.6,44
M,299.6,326.3333333,1553,32.4,112
M,298.1,324.8518519,1417,39.2,65
L,298.6,325.2222222,1456,47.7,0
M,299.5,329.2962963,1359,61.1,67
L,301.0,334.8518519,1461,40.6,154
L,300.4,328.5555556,1376,43.5,74
M,302.2,334.1111111,1432,45.3,33
M,301.4,331.1481481,1459,35.0,87
L,299.4,326.3333333,1366,48.4,116
L,298.7,328.1851852,1546,40.9,109
M,298.8,327.8148148,1480,38.1,157
L,298.3,321.8888889,1505,46.1,80
M,302.5,334.1111111,1629,31.7,225
L,298.0,324.8518519,1406,40.9,77
L,297.8,325.962963,1400,56.9,34
L,297.4,323.3703704,1389,39.2,54
M,302.0,333.7407407,1725,27.7,23
L,299.2,323.0,1436,41.8,28
L,298.2,320.037037,1369,54.5,82
M,298.3,327.4444444,1681,27.1,194
L,300.7,333.0,1427,50.3,137
L,301.4,331.8888889,1698,29.6,99
L,296.9,320.4074074,1653,35.9,177
M,295.6,314.4814815,1651,28.1,110
M,298.5,323.7407407,1897,20.2,50
H,297.9,321.1481481,1406,58.5,93
L,301.2,331.1481481,1811,24.0,84
L,301.0,337.0740741,1510,39.9,61
M,298.2,324.4814815,1645,28.2,58
M,297.9,324.1111111,1751,26.6,111
M,300.0,334.1111111,1533,42.6,180
L,301.6,328.1851852,1588,33.9,89
M,302.3,332.2592593,1627,32.3,0
M,300.3,335.2222222,1551,36.4,84
M,295.6,314.4814815,1418,46.2,24
L,300.6,335.5925926,1652,27.2,52
L,300.0,327.4444444,1431,47.7,39
M,297.4,324.8518519,1500,46.3,137
M,297.8,321.1481481,1726,27.3,35
L,299.8,333.3703704,2142,16.6,144
M,300.9,328.9259259,1416,46.6,201
H,297.3,323.0,1864,23.1,90
L,298.5,322.2592593,1444,40.5,170
H,297.5,323.7407407,1355,58.9,138
L,297.4,323.0,1341,52.2,49
M,301.1,337.8148148,1809,25.1,126
M,299.3,323.3703704,1404,49.4,93
L,299.9,328.9259259,1447,45.9,162
H,297.5,324.8518519,1471,37.7,197
L,297.6,323.7407407,1664,30.1,81
L,300.0,334.4814815,1749,28.3,83
L,298.3,321.8888889,1528,33.9,82
L,297.9,325.2222222,1562,35.8,40
L,298.5,324.4814815,1332,59.1,115
H,297.4,324.1111111,1522,46.3,146
L,300.1,326.3333333,1616,32.0,199
L,299.8,326.7037037,1460,37.4,25
L,296.4,319.6666667,1331,47.8,99
L,299.3,324.4814815,1647,32.9,172
L,300.2,334.8518519,1511,35.7,160
L,299.0,325.5925926,1523,38.6,177
M,298.7,328.1851852,1435,48.8,71
M,296.0,316.3333333,1628,36.8,121
L,297.8,318.5555556,1351,56.3,174
M,301.3,331.8888889,1494,35.3,54
L,301.5,330.7777778,1611,33.8,144
H,299.3,325.2222222,1732,29.7,141
L,304.2,341.5185185,1644,31.7,23
L,299.7,325.5925926,1483,41.1,208
M,303.6,337.4444444,1630,32.4,223
L,300.5,328.9259259,1451,48.6,208
L,298.6,329.6666667,1569,36.3,10
M,298.7,327.4444444,1254,57.1,124
M,298.8,327.4444444,1575,34.4,149
M,298.5,326.3333333,1552,36.8,133
L,301.9,330.4074074,1603,37.6,69
L,300.0,325.5925926,1401,44.5,0
M,301.9,331.8888889,1563,39.2,39
L,297.2,321.1481481,1309,49.6,167
L,295.7,315.2222222,1490,34.3,97
M,298.4,327.0740741,1514,38.8,128
L,299.9,330.7777778,1539,32.8,213
H,302.9,337.4444444,1509,46.8,175
L,302.3,333.7407407,1439,41.8,96
L,297.5,323.7407407,1536,39.0,202
L,297.8,322.6296296,1477,44.8,170
M,296.9,320.7777778,1426,50.7,130
L,298.3,323.0,1490,41.7,170
M,302.9,338.1851852,1903,21.2,23
L,300.7,328.5555556,1383,44.5,176
M,301.4,333.3703704,1727,26.5,43
M,300.4,327.4444444,1563,34.0,6
H,301.9,332.2592593,1590,34.3,106
L,297.4,323.0,1474,43.6,4
M,298.2,325.2222222,1353,50.3,150
L,302.2,333.0,1351,48.6,110
H,301.9,330.7777778,1472,39.7,187
L,299.8,325.962963,1439,36.1,203
M,298.0,320.037037,1472,46.7,116
M,298.8,324.1111111,1543,38.2,44
L,299.0,330.4074074,1339,49.6,94
L,302.7,337.0740741,1376,52.8,164
M,301.9,330.7777778,1590,40.3,130
L,302.3,331.8888889,1465,43.8,7
L,297.9,320.037037,1747,25.3,136
L,295.5,314.4814815,1573,35.1,129
L,297.4,323.0,1421,46.0,124
L,301.2,332.2592593,1413,50.1,141
M,299.0,331.1481481,1587,34.2,141
M,303.5,339.6666667,1572,44.7,84
M,300.2,327.8148148,1408,44.0,144
M,302.2,334.4814815,1479,39.5,36
L,301.4,331.8888889,1610,34.6,187
H,297.5,322.6296296,1674,30.0,54
M,301.7,333.0,1618,36.7,115
L,300.4,335.5925926,1433,42.2,14
L,299.8,327.4444444,1526,41.7,85
L,300.3,330.037037,1629,34.1,52
L,299.4,325.962963,1621,34.5,48
L,302.1,329.2962963,1447,46.6,169
M,299.7,332.6296296,1506,42.7,85
L,298.0,320.4074074,1492,38.7,202
L,298.2,322.6296296,1458,41.8,132
L,303.8,340.4074074,1523,39.8,150
L,298.9,329.6666667,1445,40.0,129
M,298.9,323.0,1827,26.1,5
M,301.8,329.6666667,1437,42.3,0
L,299.1,323.0,1693,31.6,65
L,298.8,324.8518519,1455,41.3,208
L,302.6,330.4074074,1365,66.8,80
L,300.1,327.0740741,1353,50.9,34
L,301.8,333.0,1495,36.9,197
M,297.6,322.6296296,1648,29.1,134
L,301.9,327.8148148,1719,31.9,0
L,303.3,338.9259259,1643,30.7,142
L,303.3,334.8518519,1484,44.6,223
M,299.0,330.037037,1662,33.6,67
L,297.4,322.6296296,1854,21.8,24
H,298.9,330.7777778,1429,39.9,19
M,301.9,332.2592593,1456,43.6,45
L,301.0,331.5185185,1464,45.8,184
L,299.2,324.1111111,1514,41.9,196
M,297.2,323.7407407,1444,41.1,56
L,299.2,325.5925926,1468,45.6,2
L,300.4,327.4444444,1543,38.1,209
H,302.4,333.0,1578,32.3,196
L,301.3,330.7777778,1390,45.8,63
L,302.4,335.5925926,1448,43.4,141
L,297.3,321.5185185,1518,36.0,59
M,298.2,325.2222222,1508,40.5,192
M,297.7,322.6296296,1547,36.8,74
M,300.3,335.5925926,1483,45.1,181
L,299.5,325.5925926,1336,42.1,217
H,300.8,326.7037037,1474,40.7,104
L,300.4,328.1851852,1342,52.5,68
M,298.7,329.2962963,1644,34.1,46
L,301.3,333.0,1504,39.1,2
M,295.7,315.2222222,1712,28.5,43
H,300.4,331.5185185,1656,36.3,127
H,303.7,338.1851852,1520,35.6,154
L,300.1,325.5925926,1353,58.7,86
L,298.2,324.8518519,1709,28.1,81
M,298.1,320.7777778,1503,44.7,54
L,303.6,338.1851852,1431,49.0,162
M,300.7,335.962963,1366,55.1,36
L,303.7,337.4444444,1384,45.9,121
L,300.7,331.8888889,1496,46.4,90
L,298.7,329.2962963,1433,54.6,66
L,300.9,336.3333333,1441,43.8,210
L,298.9,329.2962963,1577,41.4,80
L,296.1,318.1851852,1898,22.7,20
M,297.7,326.7037037,1461,43.7,142
M,298.8,329.6666667,1581,37.5,75
L,303.3,335.2222222,1508,35.5,217
M,297.3,320.7777778,1538,48.0,171
L,297.5,324.4814815,1312,50.3,159
L,300.4,327.0740741,1543,38.9,37
L,297.9,325.5925926,1507,36.9,13
L,301.6,333.3703704,1408,42.9,89
L,301.3,328.9259259,1438,40.9,7
L,302.6,332.6296296,1610,39.2,152
H,300.5,334.1111111,1679,27.5,59
M,298.1,323.3703704,1382,54.5,17
L,301.5,331.1481481,1587,33.7,122
L,302.2,333.7407407,1382,46.4,94
L,302.5,335.962963,1452,47.4,77
M,298.1,322.6296296,1453,41.5,204
L,300.5,327.8148148,1395,61.0,157
L,303.7,339.2962963,1437,51.3,42
L,297.2,321.1481481,1493,38.4,146
M,301.9,332.2592593,1421,46.2,26
L,301.7,332.6296296,1585,35.9,185
L,298.9,328.1851852,1534,42.1,23
H,300.5,331.8888889,1631,30.5,132
L,297.3,323.7407407,1505,33.5,14
M,298.9,329.2962963,1484,40.4,61
L,299.8,333.0,1820,24.9,174
H,299.6,325.962963,1597,36.3,35
M,297.8,320.7777778,1622,32.1,18
L,298.8,323.0,1484,39.2,8
M,301.0,336.7037037,1664,28.4,168
L,298.3,328.9259259,1442,43.9,110
L,302.7,337.0740741,1405,51.4,157
H,300.7,329.6666667,1364,65.3,208
L,301.1,329.6666667,1657,34.1,52
L,300.9,334.1111111,2073,21.4,105
L,303.6,338.5555556,1606,33.6,184
L,300.7,330.037037,1662,34.4,57
L,298.6,323.0,1310,59.7,40
L,303.6,338.9259259,1429,47.7,198
L,300.4,327.8148148,1384,45.1,159
L,302.2,334.1111111,2080,19.2,31
M,297.9,324.4814815,1538,37.6,54
M,298.4,322.2592593,1463,37.6,188
L,297.7,324.8518519,1575,39.9,12
L,303.5,339.2962963,1877,22.3,96
L,299.6,325.962963,1572,33.4,20
H,302.0,328.5555556,1606,34.5,156
M,297.6,321.8888889,1379,57.4,122
H,300.7,333.7407407,1374,53.1,66
H,298.0,324.1111111,1536,39.6,99
H,304.0,340.7777778,1517,43.1,96
L,303.4,335.2222222,1476,42.3,180
M,301.2,337.8148148,1428,36.6,99
L,301.9,331.1481481,1467,39.3,32
L,301.4,331.1481481,1347,53.3,104
L,298.0,325.962963,1527,39.5,85
L,298.6,327.4444444,1533,40.7,106
L,298.4,324.4814815,1458,40.1,111
L,302.2,334.1111111,1499,37.7,55
H,297.7,322.6296296,1488,41.0,101
L,300.8,331.8888889,1407,45.1,51
M,298.1,320.037037,2066,19.2,150
L,300.0,327.4444444,1738,28.7,51
H,303.3,334.1111111,1692,27.9,55
H,296.7,319.6666667,1607,33.6,38
M,302.7,335.2222222,1784,25.1,177
L,300.4,327.8148148,1584,32.6,71
L,302.3,333.7407407,1614,34.1,129
M,297.3,323.0,1686,34.5,97
L,297.9,325.2222222,1379,47.3,28
L,297.0,321.1481481,1350,47.7,168
L,298.8,325.5925926,1350,52.5,111
L,298.2,320.037037,1492,37.2,178
L,298.6,327.4444444,1390,50.3,196
M,302.1,332.2592593,1916,23.1,51
L,300.6,332.6296296,1563,40.7,87
H,302.4,332.2592593,1444,40.7,174
M,297.9,325.2222222,2456,13.9,82
M,298.6,325.2222222,1481,40.8,6
L,302.0,328.1851852,1456,58.1,145
L,300.2,328.9259259,1493,47.3,172
M,297.3,324.4814815,1586,32.7,131
L,297.4,323.7407407,1439,46.4,114
L,297.9,328.5555556,1472,45.0,183
L,297.4,323.7407407,1609,36.2,116
L,300.6,327.0740741,1471,49.6,29
M,299.1,323.0,1332,51.7,71
L,300.4,331.8888889,1348,56.0,146
L,299.6,329.6666667,1473,42.7,81
L,300.8,333.7407407,1505,45.5,141
L,303.8,338.9259259,1414,41.7,190
L,300.6,328.9259259,1313,52.9,93
L,301.0,336.7037037,1675,30.7,200
M,300.2,334.1111111,1450,38.5,68
L,303.1,338.1851852,1453,49.1,140
L,299.0,329.2962963,1505,41.3,85
M,300.8,330.4074074,1450,39.4,62
M,297.7,327.4444444,1596,35.2,173
M,300.4,328.1851852,1356,44.4,136
L,298.4,329.2962963,1455,42.2,94
L,299.7,332.2592593,1491,40.1,195
L,298.9,328.5555556,1404,39.8,62
L,300.7,333.0,2377,14.3,135
M,302.1,333.7407407,1511,45.0,204
M,297.9,327.4444444,1515,38.8,124
M,300.4,330.7777778,1644,31.4,41
L,300.0,328.1851852,1474,40.6,78
M,300.1,325.5925926,1533,38.0,26
L,303.5,336.3333333,1366,54.5,30
L,301.8,331.8888889,1557,33.3,190
L,299.7,330.037037,1505,37.7,4
L,303.7,340.037037,1694,28.0,44
L,300.3,335.5925926,1551,37.2,9
L,302.1,331.8888889,1772,27.1,233
L,301.9,331.1481481,1331,68.6,85
L,301.0,332.6296296,1437,56.0,33
M,297.5,324.8518519,1535,37.7,12
L,297.5,323.3703704,1373,39.9,110
L,301.5,333.0,1731,27.9,101
M,302.8,337.4444444,1262,70.5,234
L,297.5,323.0,1528,39.9,160
L,301.4,331.8888889,1362,53.2,4
L,302.5,332.2592593,1330,56.9,97
L,298.0,327.4444444,1633,34.8,41
M,300.7,329.2962963,1483,40.2,162
H,303.8,339.6666667,1378,45.6,184
H,299.1,330.4074074,1369,54.5,104
L,300.3,328.5555556,1540,39.9,203
L,303.9,338.9259259,1528,38.4,177
M,300.5,327.8148148,1341,50.9,137
M,299.3,332.2592593,1826,25.1,2
L,298.3,321.5185185,1486,42.3,86
L,299.1,329.6666667,1695,29.6,8
M,300.3,326.7037037,1612,33.1,150
L,302.4,335.5925926,1384,50.9,99
L,298.1,327.0740741,1467,41.8,48
L,300.6,336.3333333,1566,30.1,128
H,300.5,335.2222222,1454,50.3,175
L,296.8,320.037037,1304,48.7,142
M,297.3,322.6296296,1595,32.2,29
L,299.2,330.037037,1429,40.1,23
L,303.6,339.6666667,1588,31.9,53
L,303.9,340.7777778,1481,40.0,100
H,298.9,329.6666667,1532,37.7,166
L,297.4,323.3703704,1295,52.1,130
L,302.2,331.8888889,1383,46.9,45
M,301.9,332.2592593,1763,28.4,103
M,297.7,325.2222222,1504,40.4,35
L,298.6,326.3333333,1702,27.6,143
L,297.8,323.0,1518,32.5,190
L,300.5,331.1481481,1499,45.2,8
M,301.4,331.1481481,1565,36.1,110
L,297.5,323.7407407,1452,39.0,72
L,301.9,330.4074074,1610,34.8,71
M,299.9,333.3703704,1579,35.5,162
L,297.6,325.5925926,1449,49.1,174
M,303.6,339.2962963,2659,11.4,26
H,298.9,331.1481481,1519,38.8,213
L,300.6,335.2222222,1734,29.9,72
L,297.2,321.5185185,1869,25.4,163
M,300.5,329.6666667,1571,34.6,228
L,298.4,325.5925926,1467,42.5,139
