Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear
M,303.7,339.6666667,1406,41.9,48
L,299.7,325.2222222,1412,49.2,85
L,300.5,328.1851852,1461,52.5,146
M,300.7,333.7407407,1487,39.8,50
L,302.4,335.962963,1290,70.0,139
L,300.8,333.3703704,1492,39.0,109
M,301.0,336.3333333,1499,34.6,207
L,299.7,333.0,1650,32.4,60
L,298.0,320.4074074,1442,43.6,148
M,299.2,324.8518519,1521,42.3,215
H,298.6,323.0,1407,50.5,164
H,298.7,323.3703704,1420,45.7,143
L,299.7,326.7037037,1399,39.9,91
M,296.9,320.7777778,1840,24.6,157
L,300.7,336.3333333,1550,32.4,5
M,302.5,335.962963,1524,34.8,86
L,304.1,342.2592593,1382,46.7,134
L,298.2,321.5185185,1658,30.0,3
L,298.8,328.1851852,1363,44.0,25
L,302.9,337.4444444,1530,34.9,185
H,298.1,325.5925926,1425,44.5,49
M,300.2,333.7407407,1587,31.2,73
L,301.6,331.1481481,1562,34.4,162
L,301.8,334.4814815,1443,43.3,134
M,298.2,324.8518519,1414,44.3,68
M,302.2,334.4814815,1443,47.0,90
L,298.2,324.4814815,1540,34.8,32
L,300.8,334.8518519,1568,36.0,23
L,297.9,319.6666667,1574,35.8,153
M,302.6,332.6296296,1542,39.7,141
M,299.9,325.962963,1389,51.2,185
M,303.4,336.7037037,1499,39.4,197
H,297.3,322.6296296,1461,41.5,108
M,297.2,323.3703704,1584,40.0,4
L,299.5,326.3333333,1409,44.7,46
M,298.0,320.037037,1569,35.6,173
L,299.7,327.4444444,1399,51.3,144
M,302.5,332.6296296,1387,52.1,116
M,298.3,325.5925926,1488,40.6,176
L,300.0,326.7037037,1308,50.2,32
L,297.6,323.3703704,1475,42.4,24
L,300.3,333.7407407,1505,39.6,107
L,302.4,334.1111111,1450,44.1,56
L,301.8,328.9259259,2032,19.0,203
L,300.7,329.6666667,1696,27.5,73
L,296.2,317.4444444,1516,39.1,138
L,302.0,330.4074074,1464,47.2,159
L,302.9,332.6296296,1820,24.6,128
L,297.4,324.1111111,1638,31.9,131
L,300.1,335.2222222,1503,42.6,208
L,301.5,330.4074074,1270,54.2,26
M,302.3,332.6296296,1541,36.6,143
M,300.4,335.5925926,1707,30.0,165
L,302.0,332.2592593,1455,43.2,220
L,297.9,325.962963,1478,39.7,10
L,301.7,329.6666667,1486,43.0,66
L,298.8,325.5925926,1477,42.4,158
L,299.1,323.3703704,1415,43.4,0
M,300.5,334.8518519,1658,30.4,170
L,299.8,326.3333333,1291,56.4,188
L,298.1,321.1481481,1517,40.8,50
L,302.3,334.1111111,1609,32.3,49
L,300.6,335.962963,1472,44.2,126
L,299.0,323.3703704,1886,23.0,198
L,302.4,335.5925926,1255,59.0,138
L,296.9,320.4074074,1550,39.7,124
H,303.4,337.0740741,1554,36.8,85
M,300.6,328.1851852,1532,42.5,130
L,301.7,329.2962963,1487,48.0,36
L,301.4,331.1481481,1557,38.2,157
L,302.7,330.7777778,1563,35.0,8
H,300.9,334.1111111,1387,42.7,121
L,295.9,316.3333333,1679,30.4,117
L,300.5,335.962963,1576,31.1,149
L,302.6,337.8148148,1386,45.8,38
M,302.3,334.8518519,1608,39.9,136
L,299.6,329.6666667,1381,60.5,13
M,301.3,334.4814815,1648,32.4,0
H,300.3,335.2222222,1655,29.9,193
L,302.3,334.4814815,1543,33.1,39
M,302.5,336.3333333,1451,43.2,189
M,301.7,332.6296296,1298,58.1,168
M,297.4,326.3333333,1775,25.8,91
M,297.2,321.1481481,1456,44.9,85
L,297.4,321.8888889,1348,53.7,68
M,301.4,330.7777778,1451,45.3,183
L,303.4,334.4814815,1879,21.3,78
L,299.0,330.4074074,1713,28.0,116
L,298.0,320.4074074,1606,30.8,17
L,302.8,332.6296296,1564,38.5,85
L,298.1,325.2222222,1502,40.9,153
L,301.3,333.0,1723,27.6,210
M,304.0,340.037037,1575,34.5,92
M,303.9,340.4074074,1437,48.3,110
L,299.8,327.0740741,1641,27.1,16
L,302.2,334.1111111,1449,46.5,60
L,300.0,333.7407407,1520,39.2,43
M,301.4,331.8888889,1530,39.9,107
L,297.4,323.3703704,1418,51.2,52
L,297.3,322.6296296,2358,14.9,49
L,298.7,327.8148148,1667,30.4,92
L,300.3,328.1851852,1523,39.2,24
L,295.7,314.8518519,1464,46.2,92
L,298.4,325.5925926,1579,36.1,123
L,302.4,336.3333333,1305,49.1,16
L,298.5,328.9259259,1804,26.1,22
L,302.6,332.6296296,1660,38.0,99
M,297.1,323.3703704,1621,32.4,194
M,297.6,326.3333333,1529,41.9,3
L,298.1,320.4074074,1479,45.0,136
L,300.6,326.7037037,1442,43.2,96
L,302.4,335.962963,1867,25.9,121
L,302.3,332.6296296,1442,43.7,152
L,300.3,335.5925926,1488,38.4,51
M,297.7,325.5925926,1732,28.1,167
L,300.4,330.7777778,1402,54.3,44
H,299.5,325.5925926,1548,44.3,40
M,301.0,331.5185185,1493,48.1,145
L,302.6,332.2592593,1331,52.0,154
L,301.4,328.5555556,1259,63.9,20
H,299.2,324.1111111,1375,55.1,78
L,300.1,327.4444444,1321,46.9,75
H,298.9,329.6666667,1771,26.8,216
M,300.3,333.0,1477,44.2,166
L,301.3,331.8888889,1390,57.4,164
L,299.1,322.6296296,1489,38.1,32
H,298.2,328.9259259,1433,44.2,68
M,296.2,318.5555556,1385,44.0,5
M,298.2,320.4074074,1608,33.8,106
L,301.1,329.2962963,1489,45.8,42
L,298.7,329.2962963,1620,34.8,112
L,303.9,338.5555556,1426,53.4,172
L,302.6,337.4444444,1647,31.8,52
L,301.2,331.8888889,1479,38.2,139
L,297.8,323.0,1374,47.1,150
M,300.2,331.1481481,1983,20.8,83
L,298.3,327.0740741,1711,30.3,148
L,298.7,323.3703704,1353,47.0,190
M,297.3,323.0,1521,38.2,87
L,300.2,329.6666667,1530,48.5,15
L,297.5,322.6296296,2564,12.8,127
L,303.8,340.7777778,1336,47.8,176
L,299.8,330.4074074,1579,36.4,0
L,301.3,331.8888889,1432,54.4,51
L,301.4,331.5185185,1428,53.7,176
M,300.7,331.1481481,1418,46.3,84
L,301.0,332.2592593,1492,44.6,15
L,302.2,329.2962963,1458,45.1,15
M,299.1,328.9259259,1437,41.1,192
M,301.6,330.7777778,1414,49.3,106
H,297.8,320.7777778,1662,30.7,48
M,298.7,328.9259259,1459,40.2,69
M,303.3,334.4814815,1384,54.8,48
M,300.2,330.4074074,1530,35.7,80
L,297.5,324.1111111,1371,46.5,121
L,298.0,323.7407407,1313,50.8,170
L,298.7,327.8148148,1881,21.7,29
M,302.3,329.2962963,1731,33.4,112
L,300.9,333.0,1457,37.4,96
M,302.3,335.2222222,1494,37.1,114
L,300.5,335.962963,1546,39.4,203
M,299.0,330.037037,1657,31.0,70
H,298.7,329.6666667,1613,36.0,0
L,300.7,327.4444444,1661,30.3,129
L,298.4,326.7037037,1540,43.2,141
L,302.2,333.7407407,1530,37.3,207
M,300.8,334.1111111,1521,39.9,15
L,302.2,328.9259259,1483,48.7,20
L,301.4,333.7407407,2323,15.9,50
L,302.3,334.4814815,1530,37.8,57
L,296.9,321.8888889,1435,45.3,62
L,298.7,327.4444444,1516,38.5,61
M,296.4,319.2962963,1416,50.0,210
M,301.8,332.6296296,1756,26.7,33
L,300.5,330.7777778,1452,42.9,29
L,302.5,330.7777778,1436,36.5,43
L,301.6,331.1481481,1455,43.9,0
L,298.5,327.8148148,1634,37.8,78
M,301.8,328.5555556,1334,61.0,182
H,302.3,335.2222222,1482,39.0,127
L,303.4,334.4814815,1501,36.2,69
L,297.5,323.7407407,1513,39.7,32
M,299.0,323.7407407,1645,33.4,22
L,300.8,331.8888889,1689,32.9,151
L,300.3,335.2222222,1571,31.2,123
L,301.8,331.1481481,1395,50.5,131
L,298.4,327.0740741,1450,47.9,112
L,297.9,320.037037,1968,20.4,171
L,300.4,331.1481481,1429,46.9,19
L,299.5,325.5925926,1415,49.2,8
H,297.4,323.7407407,1420,45.8,120
M,302.3,335.2222222,1486,39.6,147
M,297.8,319.6666667,1405,46.9,113
L,300.1,329.2962963,1650,31.6,19
L,298.8,326.3333333,1450,44.8,63
M,297.5,323.7407407,1510,35.5,155
L,301.0,331.8888889,1475,35.3,19
L,298.2,324.4814815,1345,44.3,37
M,300.6,327.0740741,1530,40.2,93
M,296.9,321.8888889,1440,46.3,64
M,303.9,338.9259259,1485,43.3,174
L,302.3,332.2592593,1545,36.7,18
L,302.2,333.3703704,1381,49.4,207
L,300.1,329.2962963,1684,30.8,13
L,299.9,330.4074074,1408,38.4,144
M,298.0,323.7407407,1507,37.3,217
L,295.5,314.1111111,1800,27.6,208
M,299.0,324.4814815,1418,45.7,204
H,299.1,330.4074074,1405,53.6,86
H,299.4,325.2222222,1607,33.7,130
L,302.3,333.3703704,1786,24.3,81
H,298.4,321.1481481,1948,21.4,136
L,298.8,328.1851852,1493,38.5,132
M,300.1,326.7037037,1569,31.6,124
L,300.1,334.1111111,1660,31.4,38
L,302.2,333.3703704,1649,33.2,9
L,298.4,325.5925926,1423,48.0,135
L,299.3,323.7407407,1403,50.6,189
M,300.7,331.1481481,1609,27.6,108
L,296.8,320.037037,1338,44.4,128
H,300.8,332.2592593,1425,44.0,33
L,297.8,318.9259259,1327,61.0,186
M,304.0,340.037037,1685,28.2,66
L,302.7,337.0740741,1611,34.1,186
M,297.8,318.9259259,1804,26.0,222
L,300.2,326.3333333,1366,49.3,59
L,298.6,327.0740741,1450,44.3,7
L,299.1,330.7777778,1628,35.9,174
L,302.1,334.4814815,1533,39.4,26
L,301.8,333.7407407,1471,44.2,148
L,300.3,329.2962963,1483,39.9,174
H,300.8,333.3703704,1612,32.5,143
L,298.6,324.8518519,1327,58.8,9
L,298.0,320.4074074,1479,42.5,47
L,301.6,329.2962963,1687,26.6,16
H,303.0,333.3703704,1503,37.0,152
L,301.8,331.5185185,2092,18.6,51
M,297.3,322.6296296,1544,41.7,6
H,299.7,327.0740741,1375,46.8,86
M,301.6,329.6666667,1411,45.1,54
H,299.4,325.5925926,1373,44.1,81
L,302.1,333.3703704,1550,34.8,177
M,302.9,332.6296296,1437,49.9,55
H,299.9,329.2962963,1447,51.4,185
M,298.0,323.3703704,1666,31.0,198
H,299.0,329.2962963,1555,38.6,118
M,300.8,331.8888889,1520,38.0,45
M,297.9,325.962963,1529,38.1,96
M,300.7,327.0740741,1470,48.7,21
L,302.3,335.2222222,1414,47.0,11
L,300.6,330.7777778,1509,43.1,31
L,296.3,319.2962963,1648,34.0,60
H,300.5,326.7037037,1502,34.3,40
L,302.3,333.0,1373,53.0,181
L,296.0,316.3333333,1511,35.2,119
L,299.9,334.1111111,1706,28.8,111
M,300.0,325.2222222,1368,45.8,81
L,297.2,321.8888889,1474,44.3,152
L,299.6,324.8518519,1613,30.8,80
L,302.3,333.3703704,1633,36.4,114
L,297.0,320.7777778,1385,56.4,202
L,301.8,329.6666667,2825,5.8,215
H,300.4,327.8148148,1500,35.2,112
L,300.8,327.8148148,1481,38.1,153
M,299.7,332.2592593,1685,32.1,88
L,297.4,325.2222222,1505,39.2,209
L,301.0,330.4074074,1614,31.6,84
H,300.7,327.8148148,1623,32.7,0
L,302.3,334.1111111,1504,38.7,65
M,298.4,322.2592593,1468,43.8,2
L,298.3,323.0,1528,37.3,160
L,298.2,324.1111111,1408,46.3,3
L,300.8,333.3703704,1434,45.6,174
M,300.6,327.4444444,1588,37.0,50
L,300.3,334.8518519,1374,47.4,197
L,297.8,323.3703704,1561,46.3,194
H,298.7,327.8148148,1311,54.5,52
L,300.7,330.4074074,1543,47.3,203
L,300.6,337.0740741,1308,54.7,52
M,297.9,323.3703704,1300,53.0,172
M,299.2,325.2222222,1597,30.3,115
L,298.4,324.8518519,1496,37.9,194
M,301.0,337.0740741,2710,9.7,143
